id,nombre,descripcion,valor,moneda_id,categoria_id,proveedor_id
1,Ultrabook Acer Aspire Go 15,Intel i9 16GB RAM 512GB SSD Silver,1728,2,8,9
2,Auricular Logitech Gamer G522,Inalambricos Black Over-ear,230,2,6,4
3,Parlante Bluetooth Jbl Go 4,Purple Portatil 4.2W rms 2024,48,2,6,4
4,Auricular Logitech G PRO X 2,Lightspeed Inalambrico Magenta,362,2,6,4
5,Disco Solido Kingston 960gb A400,SSD Sata 3 2.5,208,2,3,5
6,Monitor Samsung 32" LED Curvo G5,Odyssey Gaming LS32AG550 QHD 165Hz,455,2,5,7
7,Monitor 24,FullHD,180000,1,5,7
8,Auriculares,Audio,60000,1,6,4
9,Notebook HP,Laptop,800000,1,8,9
10,Teclado,RGB,90000,1,7,4
